Category,Name_in_database,Authors,Journal,Year,Expt_in_paper,Stimuli,Num_subjects,Min_trials_per_subject,Max_trials_per_subject,Num_tasks_x_conditions,Confidence_type,Confidence_scale,Conf_simultaneous_with_decision,Manipulations,Notes
Cognitive,Adler_2018_Expt1,Adler & Ma,PLOS Comp Biol,2018,Expt 1,Gabors/ellipses,11,4320,4320,2,confidence rating,4-point,yes,contrast (Gabors)/aspect ratio (ellipses),
Cognitive,Adler_2018_Expt2,Adler & Ma,PLOS Comp Biol,2018,Expt 2,Gabors,8,2592,3240,2,confidence rating,4-point,no,contrast,
Cognitive,Adler_2018_Expt3,Adler & Ma,PLOS Comp Biol,2018,Expt 3,Gabors,15,3240,3240,1,confidence rating,4-point,yes,contrast,
Perception,AguilarLleyda_2018,"Aguilar-Lleyda, Lemarchand & De Gardelle",bioRxiv,2018,,letter and color discrimination,28,400,400,2,confidence rating,continuous (50-100),no,task difficulty (%correct: 90% or 60%),
Perception,AguilarLleyda_unpub,"Aguilar-Lleyda, Konishi, Sackur & De Gardelle",Unpublished,,,letter and color discrimination,34,384,384,2,confidence rating,continuous (50-100),no,task difficulty (%correct: 90% or 60%),
Perception,Akdogan_2017_Exp1,Akdogan & Balcı,JEP:General,2017,Expt 1,time (duration in sec signaled by square),28,210,210,1,"confidence rating
+ direction of error judgment",3-point,no,stimulus duration (2.1 s or 4.2 s; within-subject),
Perception,Akdogan_2017_Exp2,Akdogan & Balcı,JEP:General,2017,Expt 2,time (duration in sec signaled by square),24,210,210,1,"confidence rating
+ direction of error judgment",3-point,no,stimulus duration (1.5 s or 3.0 s; within-subject),
Perception,Akdogan_2017_Exp3,Akdogan & Balcı,JEP:General,2017,Expt 3,time (duration in sec signaled by square),24,184,184,1,"confidence rating
+ direction of error judgment",3-point,no,stimulus duration (3.0 s or 6.0 s; within-subject),
Perception,Akdogan_2017_Exp4,Akdogan & Balcı,JEP:General,2017,Expt 4,time (duration in sec signaled by square),43,60,60,1,"confidence rating
+ direction of error judgment",3-point,no,stimulus duration (1.5 s or 3.0 s; between-subject),
Motor,Arbuzova_unpub_1,"Arbuzova, Filevich",Unpublished,,,ball throw trajectories / lever angles,43,600,1200,4,confidence rating,6-point,no,"task difficulty, visuo-motor vs. motor vs. visual","visuo-motor = ball/lever shown during throw, motor = ball/lever not shown during throw, visual = no active throw, replay shown instead"
Motor,Arbuzova_unpub_2,"Arbuzova, Peters, Röd, Koß, Filevich",Unpublished,,,ball throw trajectories,41,324,324,2,confidence rating,continuous (0-100),no,"task difficulty, visuo-motor vs. motor vs. visual","visuo-motor = ball/lever shown during throw, motor = ball/lever not shown during throw, visual = no active throw, replay shown instead"
"Mixed (Motor, Perception, Memory)",Arbuzova_unpub_3,Arbuzova & Filevich,Unpublished,,,ball throw angle / paired images / visual patterns,41,180,762,4,Confidence rating,4-point,no,Task difficulty (angle difference / line brightness difference / number of images studied ); in motor task: visuomotor vs motor,"visuomotor = lever shown during throw, motor = lever not shown during throw"
Perception,Bang_2019_Exp1,"Bang, Shekhar, Rahnev",JEP:General,2019,Expt 1,Gabors,12,3434,3679,3,confidence rating,4-point,no,,
Perception,Bang_2019_Exp2,"Bang, Shekhar, Rahnev",JEP:General,2019,Expt 2,Gabors,201,200,200,2,confidence rating,4-point,no,,
Perception,CalderTravis_unpub,"Calder-Travis, Charles,  Bogacz, Yeung",Unpublished,,,Clouds of dots,48,640,640,2,confidence rating,continuous (-90 to 90),no,free response time vs response time controlled by experimenter,
Memory,Chandravadia_2020, Chandravadia et al.,Scientific Data,2020,Expt 1,images,87,100,100,1,confidence rating,3-point,yes,None,
Motor,Charalampaki_unpub_1,Charalampaki & Filevich,Unpublished,,,Ball throw trajectories,41,544,544,2,confidence rating,continuous (0-100),no,Task difficulty (difference in velocity between real and altered trajectories),
Perception ,Chetverikov_2014_exp3,Chetverikov & Filippova,Acta Psychologica,2014,Expt 3,degraded images,40,25,25,2,confidence rating,continuous (0-100),no,rating order,observers also rated how much do they like the image
Perception ,Chetverikov_2014_exp4,Chetverikov & Filippova,Acta Psychologica,2014,Expt 4,degraded images,30,117,117,2,confidence rating,continuous (0-100),no,rating order,observers also rated how much do they like the image; images were either pleasant or unpleasant
Perception,Clark_2018,Clark & Merfeld,Journal of Neurophysiology,2018,Expt 1,vestibular self-motion,4,4199,4200,3,confidence rating,2-point,"Task 1&2: no, Task 3: yes",none,
Perception,Clark_unpub,Clark,Unpublished,,,vestibular self-motion,16,200,300,3,confidence rating,11-point,no,none,
Motor,Constant_unpub_1,"Constant, Salomon & Filevich",Unpublished,,Confidence-rating task,Virtual feedback of a finger movement,47,186,200,2,confidence rating,discrete (1-6),no,Sensory (high and low levels of brightness of the display),
Mixed (Cognitive & Perception),Denison_2018,"Denison, Adler, Carrasco, Ma",PNAS,2018,,Gabors,12,1728,2160,1,confidence rating,4-point,yes,attention (via cue validity),
Cognitive,Desender_2014,Desender et al,Psych Sci,2014,,arrows,86,528,528,1,subjective difficulty,2-point,no,masked prime arrows that were congruent vs incongruent,
Cognitive,Desender_2016,Desender et al.,Neuropsychologia,2016,,metacontrast masking arrows,31,642,680,1,subjective difficulty,2-point,no,congruent vs incongruent priming,
Perception,Dildine_unpub,"Dildine, Necka, Atlas",Unpublished,,Expt 1,noxious heat,46,24,24,1,confidence rating,continuous (0-100),no,,
Cognitive,Double_2017,Double & Birney,Thinking & Reasoning,2017,Expt 1,Raven's Progressive Matrices,33,20,20,1,confidence rating,6-point,no,none,
Perception,Duyan_2018_Exp1,Duyan & Balci,Psychonomic Bulletin & Review,2018,Expt 1,sequentially presented numbers,29,215,366,1,"confidence rating
+ direction of error judgment",3-point,no,target number (11 or 19),
Perception,Duyan_2018_Exp2,Duyan & Balci,Psychonomic Bulletin & Review,2018,Expt 2,sequentially presented numbers,15,309,456,1,"confidence rating
+ direction of error judgment",3-point,no,target number (7 or 11),
Perception,Duyan_2019,Duyan & Balci,Consciousness & Cognition,2019,,number (dot arrays),18,480,480,1,"confidence rating
+ direction of error judgment",3-point,no,number (4 to 29),
Perception,Duyan_unpub_Exp1,Duyan & Balci,Unpublished,,Expt 1,length (line),20,240,240,1,"confidence rating
+ direction of error judgment",3-point,no,"length (4.5, 7.5, and 11.5 cm",
Perception,Duyan_unpub_Exp2,Duyan & Balci,Unpublished,,Expt 2,length (line),21,240,240,1,"confidence rating
+ direction of error judgment",3-point,no,"length (7.5, 11.5 and 16.5 cm",The main aim was to obtain a 50% performance to see whether confidence ratings could distinguish between correct/incorrect responses at chance level.
Memory,Duyan_unpub_logos,Duyan & Balci,Unpublished,,,company logos,59,44,44,1,confidence rating,2-point,no,correct or incorrect versions of company logos,
Perception,Faivre_2018_JN,"Faivre, Filevich, Solovey, Kuhn, Blanke",Journal of Neuroscience,2018,Expt 1-3,gabors/tones/vibrotactile,56,312,1514,1,confidence rating,continuous (0-1),no,different sensory modalities,
Perception,Faivre_2018_bioRxiv,"Faivre, Vuillaume, Blanke, Cleeremans",bioRxiv,2018,Expt 1-2,tones,37,180,270,1,confidence rating,6-point,no,,"Ns = 49 (paintings), 46 (faces), 48 (words)"
Memory,Fallow_unpub_1,Fallow,Unpublished,,Expt 1,"Paintings, faces, or words",143,192,192,1,confidence rating,3-point,yes,"stimulus materials (either paintings, faces, or words)","Replication of paintings & faces conditions in Fallow (unpublished 1). Ns = 89 (paintings), 85 (faces)"
Memory,Fallow_unpub_2,Fallow,Unpublished,,Expt 2,Paintings or faces,174,192,192,1,confidence rating,3-point,yes,stimulus materials (either paintings or faces,
Memory,Fallow_unpub_3,Fallow,Unpublished,,Expt 3,Photographs of scenes,136,192,192,1,confidence rating,3-point,yes,none,
Perception ,Filevich_unpub,Filevich & Fandakova,Unplublished,,,Gabors,17,600,600,2,confidence rating,6-point,no,task difficulty (%correct: 60% or 80%),
Perception,Gajdos_2019,"Gajdos, Fleming, Saez Garcia, Weindel, Davranche ",Neuroscience of Consciousness,2019,Expt 1,Gabors,22,699,699,1,confidence rating,4-point,no,No manipulation but EMG was recorded,no RT data recorded
Perception,Gallagher_2019_Exp1,Gallagher et al.,Scientific Reports,2019,Expt 1,moving dot cloud,15,198,286,3,confidence rating,2-point,no,"motion coherence, motion direction adaptation",no RT data recorded
Perception,Gallagher_2019_Exp2,Gallagher et al.,Scientific Reports,2019,Expt 2,moving dot cloud,15,220,330,2,confidence rating,2-point,no,"motion coherence, default decision instruction",
Perception,Gherman_2018,Gherman & Philiastides,eLife,2018,,Random dot kinematogram,30,320,320,1,confidence rating,9-point,no,none,
Perception,Haddara_2022_Expt1,Haddara & Rahnev,Psychological Science,2022,Expt 1,letter and color discrimination,443,480,480,2,confidence rating,4-point,no,2 feedback conditions (Trial-by-trial feedback vs No feedback),
Perception,Haddara_2022_Expt2,Haddara & Rahnev,Psychological Science,2022,Expt 2,letter discrimination,75,3350,3350,1,confidence rating,4-point,no,,
Perception,Hainguerlot_2018,"Hainguerlot, Vergnaud, & de Gardelle",Scientific Reports,2018,,dots,65,512,512,1,confidence rating,6-point,no,,
Perception,Hainguerlot_unpub,"Hainguerlot, Gajdos, Vergnaud, & de Gardelle",Unpublished,,,dots,69,512,512,1,confidence rating,continuous (50-100),no,,
Memory,Hetland_unpub,Hetland et al.,Unpublished,,,"faces, words, shapes",70,45,45,1,confidence rating,2-point,yes,none,
Memory,Hu_2017,Hu et al.,Frontiers in human neuroscience,2017,,words,35,150,150,1,confidence rating,6-point,no,none,There is also a perceptual awareness rating scale in addition to confidence reports on each trial
Perception,Jachs_2015_Exp1,"Jachs, Blanco, Grantham-Hill, Soto ",JEP:HPP,2015,Expt 1,Oriented Gratings,13,450,500,1,confidence rating & visibility,3-point,no,none,There is also a perceptual awareness rating scale in addition to confidence reports on each trial
Perception,Jachs_2015_Exp2,"Jachs, Blanco, Grantham-Hill, Soto ",JEP:HPP,2015,Expt 2,Oriented Gratings,18,500,500,1,confidence rating & visibility,3-point,no,none,There is also a perceptual awareness rating scale in addition to confidence reports on each trial
Perception,Jachs_2015_Exp3,"Jachs, Blanco, Grantham-Hill, Soto ",JEP:HPP,2015,Expt 3,Oriented Gratings,10,400,400,1,confidence rating & visibility,2-point,no,none,"advice provided following initial decision, and final decision taken thereafter, so initial decision is manipulation-free"
Perception,Jaquiery_unpub,"Jaquiery, Yeung",Unpublished,,,Circular clouds of dots,328,66,240,1,confidence rating,continuous (100% left to 100% right),yes,none,
Memory,Kantner_2010,"Kantner, Lindsay",Memory & Cognition,2010,Expt 4,Words,78,150,150,6,confidence rating,3-point,yes,"feedback, nature of old items",
Memory,Kantner_2012_E1,"Kantner, Lindsay",Memory & Cognition,2012,Expt 1,Words,41,192,192,1,confidence rating,3-point,yes,none,
Memory,Kantner_2012_E2,"Kantner, Lindsay",Memory & Cognition,2012,Expt 2,Words,46,192,192,1,confidence rating,3-point,yes,none,
Memory,Kantner_2012_E3,"Kantner, Lindsay",Memory & Cognition,2012,Expt 3,"Words, Paintings",147,192,384,4,confidence rating,3-point,yes,stimulus type,
Memory,Kantner_2012_E4,"Kantner, Lindsay",Memory & Cognition,2012,Expt 4,Words,51,96,96,1,confidence rating,3-point,yes,none,
Memory,Kantner_2014_E1,"Kantner, Lindsay",Psychonomic Bulletin & Review,2014,Expt 1,Paintings,87,192,192,1,confidence rating,3-point,yes,training procedure,
Memory,Kantner_2014_E2,"Kantner, Lindsay",Psychonomic Bulletin & Review,2014,Expt 2,"Words, Faces",74,172,172,1,confidence rating,3-point,no,none,
Memory,Kantner_unpub1,"Kantner, Lindsay",Unpublished,,,Words,48,96,96,1,confidence rating,3-point,yes,none,
Memory,Kantner_unpub2,"Kantner, Lindsay",Unpublished,,,Words,67,150,300,6,confidence rating,3-point,yes,"feedback, nature of old items",
Perception,Konishi_2019,"Konishi, Compain, Berberian, Sackur, de Gardelle",PsyArXiv,2019,,random dot kinematogram,93,540,1080,4,confidence rating,continuous (50-100),no,motion coherence and color numerosity proportion,
Memory,Kreis_2019,Kreis et al.,OSFpreprint,2019,Expt 1,squiggly shapes,46,30,30,1,confidence wedge,continuous (0-180),yes,none,
Perception,Kvam_2015_ch,"Kvam, Pleskac, Yu, Busemeyer",PNAS,2015,Choice condition,Random dot kinematogramms,9,1296,1632,1,confidence rating,continuous (50-100),no,"coherence, timing of confidence prompt, choice/no-choice (see next entry)",
Perception,Kvam_2015_nc,"Kvam, Pleskac, Yu, Busemeyer",PNAS,2015,No-choice condition,Random dot kinematogramms,9,1296,1632,1,confidence rating,continuous (50-100),yes,"coherence, timing of confidence prompt, choice/no-choice (see previous entry)",
Perception,Kvam_2016,Kvam and Pleskac,Cognition,2016,Expt 2,Colored dots,29,20,160,1,confidence rating,continuous (50-100),yes,"proportion of dots favoring option A:B, number of total dots",
Perception,Law_unpub,"Law, Lee",Unpublished,,,Random Dot Kinematogram,16,1200,1200,1,confidence rating,4-point,yes,motion coherence,
Perception ,Lebreton_2018,"Lebreton, et al.",Sci. Advances,2018,Expt 1-4,Gabors,125,108,324,1,confidence rating,continuous (50-100),no,incentives,
Perception,Lempert_2015,"Lempert, Chen, & Fleming",PlosOne,2015,,auditory stimuli: click trains,40,180,180,1,confidence rating,6-point,no,"auditory version of ""coherence"" (click rate ratio left/right)  ",
Memory,Lindsay_2014,"Lindsay, Kantner, Fallow",book chapter,2014,,"Words, Paintings",47,192,192,3,confidence rating,3-point,yes,stimulus type,
Perception,Lo_unpub,Lo & Duncan,Unpublished,,,Gabors,32,600,600,2,confidence rating,11-point,no,self-nonself association,
Perception,Locke_2020,"Locke*, Gaffin-Cahn*, Hosseinizaveh, Mamassian, & Landy","Attention, Perception, & Psychophysics",2020,,Gabors,10,5260,5980,8,confidence rating,2-point,no,prior probability and reward,
Perception,Maniscalco_2017_expt1,"Maniscalco, McCurdy,Odegaard, & Lau",J Neurosci,2017,Expt 1,gratings in noise,30,1000,1000,1,confidence rating,4-point,no,none,
Perception,Maniscalco_2017_expt2,"Maniscalco, McCurdy,Odegaard, & Lau",J Neurosci,2017,Expt 2,gratings in noise,41,510,510,1,confidence rating,4-point,no,none,"in odd-numbered blocks, no conf ratings collected in first half of the block"
Perception,Maniscalco_2017_expt3,"Maniscalco, McCurdy,Odegaard, & Lau",J Neurosci,2017,Expt 3,gratings in noise,21,1000,1000,1,confidence rating,4-point,no,provision of confidence ratings,"in odd-numbered blocks, no wagers collected in first half of the block"
Perception,Maniscalco_2017_expt4,"Maniscalco, McCurdy,Odegaard, & Lau",J Neurosci,2017,Expt 4,gratings in noise,33,1000,1000,1,wager,4-point,no,provision of wagers,
Perception,Martin_unpub,"Martin, Hsu",Unpublished,,,metacontrast masking figures,21,600,600,2,visibility,2-point,yes,real vs illusory figures,
Perception,Massoni_2017,Massoni & Roux,Journal of Mathematical Psychology,2017,,dots,120,50,50,2,confidence rating,continuous (0-100),no,"feedback, time exposure",
Perception,Massoni_unpub,Massoni ,Unpublished,,,dots,50,200,200,2,confidence rating,continuous (0-100),no,"feedback, difficulty",Split into reports for central & peripheral tasks
