Subject,memory_scores,memory_rates,memory_dprime,memory_metad,memory_criterion,memory_mratio,memory_mdiff,perception_scores,perception_rates,perception_dprime,perception_metad,perception_criterion,perception_mratio,perception_mdiff
1,"(74, 20, 19, 87)","(0.7872340425531915, 0.1792452830188679)",-0.8905068695086102,-0.09852289662390952,0.06069217684289535,0.11063687434356946,0.7919839728847007,,,,,,,
15,"(85, 18, 11, 86)","(0.8252427184466019, 0.1134020618556701)",1.09883622950296,1.3628859908872972,0.136550525591083,1.2402994680142425,0.26404976138433733,"(135, 15, 63, 87)","(0.9, 0.42)",0.6927082484172554,1.8077474240774463,-0.5398290432013747,2.6096808118106063,1.1150391756601907
22,"(71, 40, 25, 64)","(0.6396396396396397, 0.2808988764044944)",1.8248391305720895,-0.01614263813061691,0.11133878715694545,-0.008846060926782171,-1.8409817687027064,"(144, 9, 73, 74)","(0.9411764705882353, 0.4965986394557823)",-0.967421566101701,-0.4792733909126588,-0.7781002107762358,0.4954131763300745,0.48814817518904224
29,"(58, 42, 10, 90)","(0.58, 0.1)",1.3489795003921634,1.0048367594500973,0.5398290432013748,0.7448866043983471,-0.3441427409420661,"(127, 14, 72, 87)","(0.900709219858156, 0.4528301886792453)",1.432565527438516,0.5971121126887369,-0.5835446112469784,0.4168131239039355,-0.8354534147497792
30,"(96, 22, 9, 73)","(0.8135593220338984, 0.10975609756097561)",0.8211309557920666,-0.48709724738073024,0.16836856563858132,-0.5932028794492031,-1.308228203172797,,,,,,,
42,"(74, 25, 13, 88)","(0.7474747474747475, 0.12871287128712872)",1.119272702278078,1.0478023818511855,0.2329661352105304,0.9361457486799888,-0.0714703204268925,"(104, 37, 51, 108)","(0.7375886524822695, 0.32075471698113206)",0.1573106846101707,2.927682712634815,-0.08516980523228843,18.61083193357058,2.7703720280246444
43,"(90, 18, 14, 78)","(0.8333333333333334, 0.15217391304347827)",0.5412015471773279,0.46981752381400904,0.029866353406649282,0.8681008512713481,-0.0713840233633189,"(138, 7, 76, 79)","(0.9517241379310345, 0.49032258064516127)",2.0973458814562624,-0.3915006885715719,-0.8187728508100514,-0.18666481863246082,-2.4888465700278344
55,"(79, 26, 16, 79)","(0.7523809523809524, 0.16842105263157894)",1.468988744340383,1.4284931711674385,0.13921108360776013,0.9724330269180325,-0.04049557317294461,"(107, 44, 43, 106)","(0.7086092715231788, 0.28859060402684567)",0.2104283942479247,0.3996703349965426,0.004090192869184162,1.8993175157039637,0.1892419407486179
56,"(64, 25, 14, 97)","(0.7191011235955056, 0.12612612612612611)",0.967421566101701,-1.1334266438489937,0.28236133342392344,-1.1715953867104936,-2.1008482099506947,,,,,,,
81,"(72, 30, 20, 78)","(0.7058823529411765, 0.20408163265306123)",0.5347229695117217,-0.2747421277360835,0.14286756035627107,-0.513802741608355,-0.8094650972478052,"(138, 11, 80, 71)","(0.9261744966442953, 0.5298013245033113)",-0.28221614706250825,-0.12478911419168673,-0.7613245245115281,0.44217567099038846,0.15742703287082152
82,"(84, 18, 16, 82)","(0.8235294117647058, 0.16326530612244897)",1.1102779717077498,-0.08592611265821336,0.026113252257452757,-0.07739153153335825,-1.1962040843659631,"(123, 24, 57, 96)","(0.8367346938775511, 0.37254901960784315)",0.7177940255294146,1.8269299955838079,-0.3280081423684471,2.5452008941372024,1.1091359700543932
83,"(72, 29, 17, 82)","(0.7128712871287128, 0.1717171717171717)",0.5290677582123,1.2811079299668455,0.19280440272893512,2.4214439645607224,0.7520401717545455,"(116, 25, 50, 109)","(0.8226950354609929, 0.31446540880503143)",0.35585038623170656,-1.966185353734822,-0.221226144801158,-5.5253146541607805,-2.3220357399665286
85,"(68, 34, 26, 72)","(0.6666666666666666, 0.2653061224489796)",1.3607777746239327,2.0228064709866405,0.09817219418411202,1.4865075758205026,0.6620286963627078,"(105, 44, 47, 104)","(0.7046979865771812, 0.31125827814569534)",2.037495939394884,3.1827902104502677,-0.022837023319674465,1.5621087379420864,1.1452942710553837
86,"(67, 33, 26, 74)","(0.67, 0.26)",1.382994127100638,-0.47383743169952947,0.10171611985984153,-0.3426170960630906,-1.8568315588001676,"(107, 42, 44, 107)","(0.7181208053691275, 0.2913907284768212)",-0.4917677036556438,3.6847060571515624,-0.013970816279821274,-7.4927776463574896,4.176473760807206
87,"(74, 19, 7, 100)","(0.7956989247311828, 0.06542056074766354)",-0.22334944104920867,0.24836912746752104,0.3422186297174527,-1.1120203672808835,0.4717185685167297,"(91, 52, 31, 126)","(0.6363636363636364, 0.19745222929936307)",0.6281202234180706,0.753830357814303,0.25100055680106204,1.200137059291213,0.12571013439623235
90,"(62, 37, 24, 77)","(0.6262626262626263, 0.2376237623762376)",0.12566134685507402,0.8558448467220022,0.19599810400799475,6.810724762556088,0.7301834998669282,"(99, 40, 44, 117)","(0.7122302158273381, 0.2732919254658385)",-0.14133277854987852,0.013020353594402739,0.0214875874387338,-0.09212550498190096,0.15435313214428126
91,"(81, 26, 27, 66)","(0.7570093457943925, 0.2903225806451613)",-0.31863936396437514,0.4385809853764197,-0.07213609681318123,-1.3764180919764026,0.7572203493407949,"(116, 40, 36, 108)","(0.7435897435897436, 0.25)",0.6372787279287503,-0.16006201111125393,0.010018774732038938,-0.2511648421585937,-0.7973407390400042
92,"(80, 16, 33, 71)","(0.8333333333333334, 0.3173076923076923)",-0.31863936396437514,2.6801637515264884,-0.24609040779422808,-8.411276366425772,2.9988031154908636,,,,,,,
94,"(70, 29, 29, 72)","(0.7070707070707071, 0.2871287128712871)",-0.648782202137326,-0.5653749166802857,0.008472613376290405,0.8714402380609916,0.08340728545704024,"(137, 9, 77, 77)","(0.9383561643835616, 0.5)",1.382994127100638,1.4401491448504933,-0.7705598189113076,1.041327014070318,0.05715501774985521
97,"(68, 29, 27, 76)","(0.7010309278350515, 0.2621359223300971)",0.6744897501960817,0.5579672556942136,0.05470322841851344,0.8272434911457235,-0.11652249450186813,"(76, 60, 26, 138)","(0.5588235294117647, 0.15853658536585366)",1.5252098006084593,1.6134362388126469,0.4262517179467381,1.0578454440621814,0.08822643820418752
2,,,,,,,,"(122, 29, 60, 89)","(0.8079470198675497, 0.40268456375838924)",-0.14831615261548148,0.06881790383234931,-0.3119756833198666,-0.4639946669245383,0.2171340564478308
5,,,,,,,,"(109, 37, 49, 105)","(0.7465753424657534, 0.3181818181818182)",-0.6744897501960817,-1.295942130357675,-0.0954812338168842,1.921366677523165,-0.6214523801615933
28,,,,,,,,"(95, 58, 33, 114)","(0.6209150326797386, 0.22448979591836735)",0.42327281957845053,0.6875825678791461,0.22461621096338463,1.6244429976957395,0.26430974830069554
31,,,,,,,,"(115, 34, 54, 97)","(0.7718120805369127, 0.3576158940397351)",2.330682963508571,1.247466954138439,-0.18999452186340954,0.5352366553795559,-1.083216009370132
53,,,,,,,,"(106, 47, 41, 106)","(0.6928104575163399, 0.2789115646258503)",0.15829415590747087,-0.1443915786674797,0.041122726347543825,-0.9121725172967361,-0.30268573457495057
95,,,,,,,,"(132, 17, 66, 85)","(0.8859060402684564, 0.4370860927152318)",0.11441719052070393,0.5921304444958824,-0.5233393233752075,5.175187765065212,0.47771325397517844
