Subject,FM_scores,FM_rates,FM_dprime,FM_metad,FM_criterion,FM_mratio,FM_mdiff,IM_scores,IM_rates,IM_dprime,IM_metad,IM_criterion,IM_mratio,IM_mdiff,WM_scores,WM_rates,WM_dprime,WM_metad,WM_criterion,WM_mratio,WM_mdiff
1,"(46, 14, 12, 48)","(0.7666666666666667, 0.2)",1.5378867949066373,1.9934272495763865,0.05685397134563491,1.296211955378292,0.45554045466974924,"(55, 5, 4, 56)","(0.9166666666666666, 0.06666666666666667)",2.7880182508988502,2.979466242180854,0.059045909471693414,1.0686681269824116,0.19144799128200374,"(32, 28, 11, 49)","(0.5333333333333333, 0.18333333333333332)",0.9656235969184662,0.40098342397454706,0.40954152886836787,0.4152585181784913,-0.5646401729439192
3,"(46, 14, 24, 36)","(0.7666666666666667, 0.4)",0.9886823898792657,1.8849448034655174,-0.23728309387292232,1.9065220770198001,0.8962624135862517,"(46, 14, 6, 54)","(0.7666666666666667, 0.1)",2.118493418854248,1.3285463840265626,0.276819137331478,0.6271184853361899,-0.7899470348276856,"(32, 28, 13, 47)","(0.5333333333333333, 0.21666666666666667)",0.9024227928801715,0.2141213101493529,0.3499243207413225,0.23727382756586143,-0.6883014827308186
4,"(49, 11, 13, 47)","(0.8166666666666667, 0.21666666666666667)",1.7592255470530143,1.8372518791845913,-0.05961720812704535,1.0443526597611568,0.07802633213157706,"(49, 11, 11, 49)","(0.8166666666666667, 0.18333333333333332)",1.7945140699474824,1.2938541517819298,-0.0,0.7210052980079422,-0.5006599181655527,,,,,,,
5,"(52, 8, 12, 48)","(0.8666666666666667, 0.2)",1.9550411356796298,2.373045697195195,-0.1345751915319356,1.2138085761403965,0.4180045615155654,"(56, 4, 2, 58)","(0.9333333333333333, 0.03333333333333333)",3.187656198427307,-0.48875630532479325,0.16641434488594486,-0.153327797886714,-3.6764125037521005,"(48, 12, 8, 52)","(0.8, 0.13333333333333333)",1.907452317486048,0.9791052775626248,0.13457519153193553,0.513305244166234,-0.9283470399234233
6,"(54, 6, 26, 34)","(0.9, 0.43333333333333335)",1.4754215459932005,1.4078964586751423,-0.5568287803782475,0.9542333596107255,-0.06752508731805817,"(58, 2, 17, 43)","(0.9666666666666667, 0.2833333333333333)",2.3743913421304867,1.8135004528851597,-0.6304735436602256,0.7637748759890387,-0.560890889245327,"(36, 24, 14, 46)","(0.6, 0.23333333333333334)",0.9628107700307396,1.4040793362417696,0.23728309387292226,1.4583128688900537,0.44126856621103006
7,"(51, 9, 13, 47)","(0.85, 0.21666666666666667)",1.8135490990256058,1.9842124095136966,-0.12646650705200785,1.0941045988662705,0.1706633104880908,"(54, 6, 3, 57)","(0.9, 0.05)",2.822226304841929,2.7179631672878894,0.18165103070343624,0.9630564220257031,-0.10426313755403971,"(26, 34, 6, 54)","(0.43333333333333335, 0.1)",1.0799299584120472,1.2464962591184297,0.7247227851663529,1.1542380590601498,0.16656630070638245
8,"(4, 56, 59, 1)","(0.06666666666666667, 0.9833333333333333)",-3.535944639600852,-4.388311419710613,-0.3134796440704791,1.2410577277041244,-0.8523667801097607,"(3, 57, 60, 0)","(0.05, 0.9916666666666667)",-3.977216443195256,-3.3604232810731225,-0.37456308643351877,0.8449183817548014,0.6167931621221334,"(5, 55, 55, 5)","(0.08333333333333333, 0.9166666666666666)",-2.7700929841173534,-2.567026936593791,-0.0,0.926693418348097,0.20306604752356217
9,"(48, 12, 12, 48)","(0.8, 0.2)",1.6241510585635448,0.3512504994599048,-5.551115123125783e-17,0.21626713698081929,-1.27290055910364,"(53, 7, 23, 37)","(0.8833333333333333, 0.38333333333333336)",1.4840381860224379,1.7983413548548561,-0.447539166710748,1.2117891384417963,0.31430316883241827,"(40, 20, 16, 44)","(0.6666666666666666, 0.26666666666666666)",0.9873536300696315,1.262959918798406,0.09609921195731516,1.2791363502753696,0.27560628872877446
10,"(51, 9, 23, 37)","(0.85, 0.38333333333333336)",1.3588352190572612,1.8405003995858724,-0.36984777561694593,1.3544691613621724,0.4816651805286112,"(40, 20, 9, 51)","(0.6666666666666666, 0.15)",1.4353559716946442,1.8056281903498328,0.3028530450991662,1.2579654287556479,0.37027221865518856,"(42, 18, 11, 49)","(0.7, 0.18333333333333332)",1.398340092398204,1.2126148686105698,0.18916713946791208,0.8671816500168363,-0.18572522378763412
11,"(39, 21, 8, 52)","(0.65, 0.13333333333333333)",1.5030349486296843,1.2189426462462247,0.3627255751146088,0.8109875604406496,-0.2840923023834596,"(46, 14, 7, 53)","(0.7666666666666667, 0.11666666666666667)",1.8740661790044144,2.767009191051892,0.23195144039987514,1.476473574973669,0.8929430120474775,"(29, 31, 7, 53)","(0.48333333333333334, 0.11666666666666667)",1.0976547601509397,0.6301004059132892,0.6168027347489242,0.5740424300867091,-0.46755435423765046
12,"(49, 11, 28, 32)","(0.8166666666666667, 0.4666666666666667)",0.9656235969184661,1.0862924628010093,-0.40954152886836787,1.1249647028796999,0.12066886588254322,"(51, 9, 7, 53)","(0.85, 0.11666666666666667)",2.17249256346711,2.7076407102525684,0.07769139109380241,1.2463291040828275,0.5351481467854584,"(31, 29, 15, 45)","(0.5166666666666667, 0.25)",0.7434494335903812,0.9528929518576632,0.3163502261898139,1.281718579373724,0.20944351826728203
13,"(45, 15, 29, 31)","(0.75, 0.48333333333333334)",0.7243549594499654,0.2847438602632219,-0.31635022618981395,0.39309989743072987,-0.4396110991867435,"(45, 15, 23, 37)","(0.75, 0.38333333333333336)",0.9533798378506295,0.8838655177533956,-0.18887595596809187,0.9270864378106084,-0.0695143200972339,"(36, 24, 19, 41)","(0.6, 0.31666666666666665)",0.7496862345872183,0.10050338098651122,0.11184666267682192,0.13406059275164495,-0.649182853600707
14,"(30, 30, 6, 54)","(0.5, 0.1)",1.2450462387740626,1.5111740210122826,0.6407757827723002,1.213749316250506,0.26612778223822,"(52, 8, 4, 56)","(0.8666666666666667, 0.06666666666666667)",2.531542204997422,4.121807048168759,0.19515716470361977,1.6281802610409004,1.590264843171337,"(16, 44, 3, 57)","(0.26666666666666666, 0.05)",0.9286878854750096,0.1528998126030963,1.1338896750807803,0.1646406882166772,-0.7757880728719133
15,"(53, 7, 11, 49)","(0.8833333333333333, 0.18333333333333332)",2.043707865602846,2.6496761236847863,-0.14454069001876457,1.2965043430525693,0.6059682580819405,"(56, 4, 9, 51)","(0.9333333333333333, 0.15)",2.4604030668807075,3.354138083394111,-0.23232627827511754,1.3632473998036745,0.8937350165134035,"(46, 14, 23, 37)","(0.7666666666666667, 0.38333333333333336)",1.0054362972541389,1.1130436032284463,-0.2155877263108732,1.1070254836315185,0.10760730597430745
16,"(50, 10, 12, 48)","(0.8333333333333334, 0.2)",1.7699592401856963,2.1892714161805387,-0.06290016626439343,1.2369049899425084,0.4193121759948424,"(42, 18, 10, 50)","(0.7, 0.16666666666666666)",1.460770851078831,1.6188371775112578,0.2215105266968302,1.1082074757417901,0.15806632643242668,"(24, 36, 8, 52)","(0.4, 0.13333333333333333)",0.8341640343691933,0.40004009442443994,0.6820593598862925,0.4795700580964941,-0.43412393994475335
17,"(35, 25, 17, 43)","(0.5833333333333334, 0.2833333333333333)",0.8046887856445843,0.7846043845278918,0.18126957712376934,0.9750407841205291,-0.02008440111669252,"(46, 14, 2, 58)","(0.7666666666666667, 0.03333333333333333)",2.4403355765037684,2.915603738049486,0.5530006724671351,1.194755248467355,0.4752681615457175,"(37, 23, 16, 44)","(0.6166666666666667, 0.26666666666666666)",0.903057920860928,1.285426598956198,0.16309394247509482,1.4234154523895208,0.38236867809527
18,"(39, 21, 16, 44)","(0.65, 0.26666666666666666)",1.0114094757322134,0.6213879022216798,0.11880262840126002,0.6143781694074242,-0.39002157351053357,"(51, 9, 10, 50)","(0.85, 0.16666666666666666)",1.9360640055250888,0.7965432731730965,-0.03450591169604439,0.411424039132974,-1.1395207323519925,,,,,,,
19,"(49, 11, 12, 48)","(0.8166666666666667, 0.2)",1.7075284815050689,2.4773512101662463,-0.030556779035475323,1.450840344392166,0.7698227286611774,"(57, 3, 3, 57)","(0.95, 0.05)",3.154360132135734,4.001505470558001,3.3306690738754696e-16,1.268563291106741,0.8471453384222674,"(38, 22, 16, 44)","(0.6333333333333333, 0.26666666666666666)",0.9369287391302634,0.9573971975625383,0.14111544806114618,1.0218463342807431,0.02046845843227485
2,,,,,,,,"(56, 4, 6, 54)","(0.9333333333333333, 0.1)",2.6933182802818134,3.6786240875748986,-0.10976719024971227,1.3658334087384534,0.9853058072930851,"(48, 12, 14, 46)","(0.8, 0.23333333333333334)",1.5378867949066373,1.0422848825430526,-0.056853971345635024,0.6777383653953074,-0.49560191236358464
