Subject,perception_scores,perception_rates,perception_dprime,perception_metad,perception_criterion,perception_mratio,perception_mdiff,memory_scores,memory_rates,memory_dprime,memory_metad,memory_criterion,memory_mratio,memory_mdiff
1,"(178, 31, 59, 187)","(0.8516746411483254, 0.23983739837398374)",1.7398737259012442,2.4722826913072513,-0.16840850890859516,1.420955242040122,0.7324089654060071,"(146, 84, 40, 186)","(0.6347826086956522, 0.17699115044247787)",1.2904568153672542,1.806628230181807,0.29117268337151425,1.399991234629308,0.5161714148145529
2,"(183, 57, 66, 174)","(0.7625, 0.275)",1.305812486235943,1.8467648684936706,-0.058303657118854435,1.4142649790530373,0.5409523822577276,"(149, 84, 93, 141)","(0.6394849785407726, 0.3974358974358974)",0.6013806706128083,0.9750154772342216,-0.04854645077855893,1.6212950047773875,0.37363480662141324
3,"(179, 46, 56, 193)","(0.7955555555555556, 0.2248995983935743)",1.5733339527870815,2.1538110231090344,-0.03505034335555318,1.368947145196776,0.5804770703219528,"(157, 75, 82, 155)","(0.6767241379310345, 0.3459915611814346)",0.8508582920237305,1.8454299174817512,-0.031196288947486772,2.1689039582519363,0.9945716254580207
4,"(179, 63, 48, 188)","(0.7396694214876033, 0.2033898305084746)",1.4644474228594317,2.0679440514796856,0.09362372652303874,1.4120985289057946,0.6034966286202539,"(155, 81, 60, 178)","(0.6567796610169492, 0.25210084033613445)",1.0872995338914562,1.8813779175296648,0.13210165770264112,1.7303216444839207,0.7940783836382086
5,"(181, 59, 50, 184)","(0.7541666666666667, 0.21367521367521367)",1.4738713370959051,2.0551560663019885,0.053036695719295424,1.3943931295600323,0.5812847292060834,"(161, 78, 75, 163)","(0.6736401673640168, 0.31512605042016806)",0.9240112517360497,1.9184974643556914,0.0156924194610841,2.0762706739243515,0.9944862126196417
6,"(178, 64, 59, 179)","(0.7355371900826446, 0.24789915966386555)",1.3044724656293178,1.9490498782075525,0.02573436302045895,1.4941287988530065,0.6445774125782346,"(180, 58, 102, 138)","(0.7563025210084033, 0.425)",0.8854785377428589,1.530140836890538,-0.2526698453451925,1.7280383111158903,0.6446622991476791
7,"(187, 50, 48, 194)","(0.7890295358649789, 0.19834710743801653)",1.6419552529084194,2.643567258755298,0.022240742611929154,1.6100117552367574,1.0016120058468787,"(149, 88, 39, 197)","(0.6286919831223629, 0.1652542372881356)",1.3156296557841212,1.8033743657896113,0.3223495909099929,1.370731009187226,0.48774471000549013
8,"(193, 42, 54, 191)","(0.8212765957446808, 0.22040816326530613)",1.6820288586080268,2.0721938512198035,-0.07471279722810298,1.2319609384910672,0.39016499261177673,"(174, 61, 65, 169)","(0.7404255319148936, 0.2777777777777778)",1.2281556843190322,1.853939237477018,-0.02760102659034891,1.5095311296018308,0.6257835531579858
9,"(182, 47, 60, 190)","(0.7947598253275109, 0.24)",1.5215239037314614,1.8383584921682325,-0.05837302499489072,1.2082350383452736,0.31683458843677115,"(182, 51, 56, 175)","(0.7811158798283262, 0.24242424242424243)",1.4668827841020247,1.7684519548720068,-0.038720839968916954,1.2055850501746752,0.30156917076998213
10,"(152, 66, 90, 171)","(0.6972477064220184, 0.3448275862068966)",0.9116386359542541,1.1987307974197954,-0.058588933052309417,1.3149188177671174,0.2870921614655413,"(103, 112, 76, 128)","(0.4790697674418605, 0.37254901960784315)",0.2917025939777599,1.1819155298103698,0.1887990577018511,4.051782720521443,0.89021293583261
11,"(196, 73, 67, 138)","(0.7286245353159851, 0.32682926829268294)",1.0524623055277764,0.7424742186469685,-0.07998641092830919,0.7054639531955885,-0.3099880868808079,"(127, 108, 75, 162)","(0.5404255319148936, 0.31645569620253167)",0.5835050229171849,0.95099824419703,0.1880636217026534,1.629803012564645,0.3674932212798452
12,"(189, 36, 37, 217)","(0.84, 0.14566929133858267)",2.0374250579003066,2.0502902447719493,0.030365898817687142,1.0063144343993202,0.012865186871642731,"(173, 38, 34, 201)","(0.8199052132701422, 0.14468085106382977)",1.962200565509879,2.288929857674348,0.07225949513824531,1.1665116695548237,0.3267292921644689
13,"(180, 101, 59, 139)","(0.6405693950177936, 0.29797979797979796)",0.8859416371921469,0.8442380996959715,0.08511927448837078,0.9529274438118202,-0.04170353749617539,"(175, 60, 130, 105)","(0.7446808510638298, 0.5531914893617021)",0.5214621039702284,0.6000523292433306,-0.39578646811146323,1.1507112878860113,0.07859022527310222
14,"(180, 61, 59, 178)","(0.7468879668049793, 0.2489451476793249)",1.33603225922056,1.645094568542171,0.006542153513850901,1.2313284781775535,0.30906230932161094,"(124, 99, 70, 154)","(0.5560538116591929, 0.3125)",0.6362174266456719,1.1232638095466745,0.17390240461265583,1.765534489472972,0.48704638290100255
15,"(205, 72, 38, 164)","(0.740072202166065, 0.18811881188118812)",1.5200752937720092,2.092702807633753,0.12064091234173391,1.3767099670706378,0.5726275138617436,"(144, 88, 80, 152)","(0.6206896551724138, 0.3448275862068966)",0.7070789821671958,1.8397802109535384,0.04601524807419771,2.601944418308992,1.1327012287863427
16,"(179, 62, 64, 172)","(0.7427385892116183, 0.2711864406779661)",1.2550229411102238,1.8351786657023244,-0.02129138583794482,1.4622670276281011,0.5801557245921005,"(131, 105, 70, 167)","(0.5550847457627118, 0.29535864978902954)",0.6782407909946393,1.6214453618172406,0.19963909098333465,2.3906632914829453,0.9432045708226013
17,"(180, 80, 60, 157)","(0.6923076923076923, 0.2764976958525346)",1.0905239406060858,1.5053005862840194,0.045437684901939834,1.3803462081239695,0.4147766456779336,"(149, 83, 94, 135)","(0.6422413793103449, 0.4104803493449782)",0.6178349864079172,1.1029303981272691,-0.06907343232006422,1.7851536775858048,0.4850954117193519
18,"(186, 36, 59, 195)","(0.8378378378378378, 0.23228346456692914)",1.70737021999023,1.4422106783669069,-0.12713146267176245,0.8446971028785775,-0.2651595416233232,"(169, 65, 66, 170)","(0.7222222222222222, 0.2796610169491525)",1.1859930826050888,2.0056409007037597,-0.002803492421133924,1.6911067443144578,0.8196478180986708
