,Subject,oriperc_scores,oriperc_rates,oriperc_dprime,oriperc_metad,oriperc_criterion,oriperc_mratio,oriperc_mdiff,contrast_scores,contrast_rates,contrast_dprime,contrast_metad,contrast_criterion,contrast_mratio,contrast_mdiff,oriwm_scores,oriwm_rates,oriwm_dprime,oriwm_metad,oriwm_criterion,oriwm_mratio,oriwm_mdiff,oriperc_mratio_log,contrast_mratio_log,oriwm_mratio_log,DGI_oriperc_contrast,DGI_oriperc_oriwm,DGI_contrast_oriwm
0,1,"(122, 37, 29, 112)","(0.7672955974842768, 0.20567375886524822)",1.5387797291280436,0.5112476037700733,0.0457775311192045,0.3322422268064149,-1.0275321253579703,"(122, 27, 33, 118)","(0.8187919463087249, 0.2185430463576159)",1.6735955422496125,0.9396559927990512,-0.0668238456886138,0.5614594261741311,-0.7339395494505613,"(100, 50, 75, 75)","(0.6666666666666666, 0.5)",0.4276936519646241,-0.0118721266563641,-0.2153636496477287,-0.027758482273069,-0.4395657786209883,-1.1018909772789731,-0.5772157671221894,,0.5246752101567838,,
1,2,"(120, 24, 39, 117)","(0.8333333333333334, 0.25)",1.627748504553628,0.5091633143094197,-0.1464659079528096,0.3128022006378964,-1.1185851902442083,"(116, 29, 34, 121)","(0.8, 0.21935483870967742)",1.6026063530590746,1.095556514374426,-0.0336236362392861,0.6836092420844423,-0.5070498386846485,"(112, 35, 77, 76)","(0.7619047619047619, 0.5032679738562091)",0.6985988316298726,0.497984682206813,-0.3603173598363859,0.7128335457489746,-0.2006141494230595,-1.162184235048336,-0.38036880810645957,-0.3385073419955215,0.7818154269418764,0.8236768930528144,0.04186146611093805
2,3,"(113, 39, 16, 132)","(0.743421052631579, 0.10810810810810811)",1.871609077359268,0.8781890797152583,0.2913618888353547,0.4692160827486113,-0.9934199976440096,"(119, 19, 43, 119)","(0.8623188405797102, 0.2654320987654321)",1.7013308240809837,1.4547365288707326,-0.2320547090984092,0.8550579982917461,-0.2465942952102509,"(129, 23, 31, 117)","(0.8486842105263158, 0.20945945945945946)",1.822677512038325,0.9719802674457776,-0.1112541229524551,0.5332705654324987,-0.8506972445925475,-0.7566918858324335,-0.156585978086664,-0.6287263561624287,0.6001059077457696,0.12796552967000485,0.4721403780757647
3,4,"(105, 45, 34, 116)","(0.7, 0.22666666666666666)",1.2644673472713084,0.2729969577626405,0.1127344705163073,0.2158987801082896,-0.9914703895086678,"(46, 4, 9, 41)","(0.92, 0.18)",2.2434110696040683,-0.2652570589976786,-0.2448532362334094,-0.1182382767882539,-2.508668128601747,"(109, 34, 68, 89)","(0.7622377622377622, 0.43312101910828027)",0.8750012070006662,-0.1109404838601984,-0.2725427612746271,-0.1267889495152593,-0.9859416908608648,-1.5329455917400079,,,,,
4,5,"(137, 18, 44, 101)","(0.8838709677419355, 0.30344827586206896)",1.6927262290144407,-0.7411358010271768,-0.3400269510222111,-0.4378355981750751,-2.4338620300416176,"(97, 60, 7, 136)","(0.6178343949044586, 0.04895104895104895)",1.9228239954691169,0.3464247457064154,0.6776561989475092,0.1801645634351974,-1.576399249762701,"(116, 20, 62, 102)","(0.8529411764705882, 0.3780487804878049)",1.346665767233129,0.2650856360244479,-0.3692609862908575,0.1968459007977125,-1.081580131208681,,-1.7138846044493135,-1.6253340857984813,,,0.08855051865083219
5,6,"(136, 16, 21, 127)","(0.8947368421052632, 0.14189189189189189)",2.2992988570886523,1.7536983746295522,-0.0901307228814856,0.7627100623405112,-0.5456004824591001,"(102, 30, 27, 141)","(0.7727272727272727, 0.16071428571428573)",1.7244097935904406,0.7706845033232681,0.1218339399570141,0.4469265404243645,-0.9537252902671725,"(122, 24, 34, 120)","(0.8356164383561644, 0.22077922077922077)",1.730928228854265,1.142931259860028,-0.1035179912766728,0.660299624679734,-0.587996968994237,-0.27087731684729843,-0.8053610369690983,-0.41506157019047496,0.5344837201217999,0.14418425334317653,0.39029946677862337
6,7,"(112, 41, 4, 143)","(0.7320261437908496, 0.027210884353741496)",2.489253400308301,1.9814866804544515,0.6522559348737321,0.7960164602804354,-0.5077667198538496,"(124, 24, 36, 116)","(0.8378378378378378, 0.23684210526315788)",1.6873501148283032,1.2739478640678212,-0.1345564583446391,0.7549991272543056,-0.413402250760482,"(124, 17, 29, 130)","(0.8794326241134752, 0.18238993710691823)",2.0577616103576823,1.8549884697101584,-0.1329302343895027,0.9014593626264232,-0.2027731406475239,-0.22813541460729078,-0.2810386856883425,-0.1037403148629138,0.05290327108105172,0.12439509974437699,0.1772983708254287
7,8,"(108, 28, 27, 137)","(0.7941176470588235, 0.16463414634146342)",1.780700077983262,1.7492914364507668,0.0773983399622762,0.982361632977482,-0.0314086415324952,"(83, 49, 14, 154)","(0.6287878787878788, 0.08333333333333333)",1.6931721580427317,0.962827667772634,0.5271747036717733,0.5686531420913753,-0.7303444902700976,"(140, 20, 31, 109)","(0.875, 0.22142857142857142)",1.8998538169788075,1.7261934057146198,-0.1914859744579031,0.9085927508147196,-0.1736604112641877,-0.017795776731500092,-0.5644846228391636,-0.09585830410081286,0.5466888461076634,0.07806252736931277,0.4686263187383507
8,9,"(125, 35, 36, 104)","(0.78125, 0.2571428571428571)",1.417363865241398,1.4557954488634888,-0.0621213874025707,1.0271148323761912,0.0384315836220907,"(138, 21, 40, 101)","(0.8679245283018868, 0.28368794326241137)",1.673375071382819,0.2842779565951051,-0.2723566764612221,0.1698829876557128,-1.389097114787714,"(143, 7, 73, 77)","(0.9533333333333334, 0.4866666666666667)",1.681279201917159,0.3449841885917983,-0.8223212916953269,0.2051914924055526,-1.3362950133253606,0.026753738109780156,-1.7726453868320904,-1.5838116265569395,1.7993991249418706,1.6105653646667197,0.18883376027515086
9,10,"(121, 37, 22, 120)","(0.7658227848101266, 0.15492957746478872)",1.7251582600802904,0.2794879886391813,0.1451792561251979,0.1620071590569167,-1.4456702714411092,"(117, 41, 21, 121)","(0.740506329113924, 0.14788732394366197)",1.6751810877881987,0.5674136763682075,0.2003151304631584,0.3387178141542799,-1.1077674114199914,"(132, 19, 50, 99)","(0.8741721854304636, 0.33557046979865773)",1.5560917717694838,0.2164870399462955,-0.3608773055409229,0.1391222830643985,-1.3396047318231885,-1.8201147530168154,-1.0825879248690027,-1.9724019983145935,0.7375268281478127,0.15228724529777815,0.8898140734455908
10,11,"(129, 17, 52, 102)","(0.8835616438356164, 0.33766233766233766)",1.5957483378015362,1.1119298308234244,-0.3870648877092936,0.6968077637826846,-0.4838185069781118,"(129, 32, 27, 112)","(0.8012422360248447, 0.19424460431654678)",1.693865788340767,1.001904737831492,0.0081468573687275,0.5914900370075434,-0.691961050509275,"(130, 9, 35, 126)","(0.935251798561151, 0.21739130434782608)",2.267057424512083,1.7861928852382956,-0.3675284772742371,0.787890445969943,-0.4808645392737876,-0.3612457114526949,-0.5251104393107182,-0.23839622674646535,0.1638647278580233,0.12284948470622956,0.2867142125642529
11,12,"(85, 58, 26, 131)","(0.5944055944055944, 0.16560509554140126)",1.2004103350001547,0.0366440344613262,0.3663932425514949,0.0305262570580263,-1.1637663005388286,"(154, 5, 54, 87)","(0.9685534591194969, 0.3829787234042553)",2.115567406946891,0.8004852345114759,-0.781139873669051,0.3783785058717211,-1.315082172435415,"(92, 66, 48, 94)","(0.5822784810126582, 0.3380281690140845)",0.621155054300825,0.1159775126013372,0.1050623884626585,0.1867126602260077,-0.5051775416994877,-3.4891680785711703,-0.971860246082331,-1.6781844202031866,2.5173078324888394,1.8109836583679837,0.7063241741208556
12,13,"(149, 19, 36, 96)","(0.8869047619047619, 0.2727272727272727)",1.7978306961745902,0.851141765538821,-0.3028225525955851,0.4734270959717584,-0.9466889306357692,"(133, 16, 41, 110)","(0.8926174496644296, 0.271523178807947)",1.8302138074424452,0.6356200977431893,-0.3161779855858955,0.3472928109046503,-1.194593709699256,"(137, 12, 36, 115)","(0.9194630872483222, 0.23841059602649006)",2.0888734971712277,1.07924730425459,-0.3450223031435112,0.5166647505060106,-1.0096261929166372,-0.7477573465910101,-1.0575870194041725,-0.6603610664418758,0.3098296728131624,0.08739628014913436,0.3972259529622968
13,14,"(127, 29, 21, 123)","(0.8141025641025641, 0.14583333333333334)",1.9295251515536171,0.5261304175536909,0.080678054356468,0.2726735213221039,-1.4033947339999264,"(56, 36, 49, 59)","(0.6086956521739131, 0.4537037037037037)",0.3881164850245963,0.7897857156248683,-0.0798058765719361,2.034919273204324,0.401669230600272,"(121, 30, 25, 124)","(0.8013245033112583, 0.16778523489932887)",1.793438861670432,0.4335069747829898,0.0582962842697259,0.241718289955653,-1.3599318868874422,-1.2994800920403677,0.7104561489206509,-1.419982321998112,2.009936240961019,0.12050222995774429,2.130438470918763
14,15,"(112, 30, 25, 133)","(0.7887323943661971, 0.15822784810126583)",1.787977047457202,1.2066000899167495,0.0998686179665324,0.6748409279821203,-0.5813769575404524,"(116, 44, 26, 114)","(0.725, 0.18571428571428572)",1.4790779732164974,-0.0099322909500338,0.1480202525685053,-0.0067151909026367,-1.4890102641665313,"(122, 26, 31, 121)","(0.8243243243243243, 0.20394736842105263)",1.74437272725186,1.678078163185449,-0.0521835984749041,0.961995184268414,-0.0662945640664109,-0.3932782781310291,,-0.03874583428695,,0.3545324438440791,
15,16,"(114, 25, 24, 137)","(0.8201438848920863, 0.14906832298136646)",1.9383818685648369,1.2117561782262425,0.0622620105557147,0.6251380070550379,-0.7266256903385944,"(144, 15, 60, 81)","(0.9056603773584906, 0.425531914893617)",1.4859887834887702,1.7319935787259777,-0.5633675311458789,1.1655495640146374,0.2460047952372073,"(116, 29, 18, 137)","(0.8, 0.11612903225806452)",2.016370261368796,1.6415289152933958,0.1764705609306878,0.8141009351025927,-0.3748413460753999,-0.4697828423328993,0.15319270455655631,-0.2056709217692905,0.6229755468894556,0.26411192056360877,0.3588636263258468
16,17,"(126, 28, 9, 137)","(0.8181818181818182, 0.06164383561643835)",2.417770466681856,1.0922076884275076,0.3163308846426152,0.4517416783266657,-1.3255627782543489,"(128, 28, 30, 114)","(0.8205128205128205, 0.20833333333333334)",1.714780180336254,-0.0191388048753137,-0.0525516920596577,-0.0111610835574043,-1.7339189852115675,"(138, 25, 33, 104)","(0.8466257668711656, 0.24087591240875914)",1.7106493662169564,1.0698713070280892,-0.1592903795202678,0.6254182348274407,-0.6407780591888672,-0.7946447706497702,,-0.46933467732007045,,0.3253100933296998,
17,18,"(144, 11, 53, 92)","(0.9290322580645162, 0.36551724137931035)",1.789949417681263,0.0326945854472175,-0.5624358607726014,0.0182656476905201,-1.757254832234045,"(129, 23, 38, 110)","(0.8486842105263158, 0.25675675675675674)",1.6694561769213494,0.0089149403564842,-0.1887149344653769,0.0053400265785498,-1.6605412365648653,"(126, 24, 54, 96)","(0.84, 0.36)",1.3412275297720873,0.6310517614006395,-0.3179995449792796,0.4705031379037329,-0.7101757683714478,-4.0027331586179145,-5.232524648765904,-0.753952650683017,1.2297914901479894,3.2487805079348977,4.478571998082887
18,19,"(124, 21, 44, 111)","(0.8551724137931035, 0.2838709677419355)",1.6155526806111855,1.212808235896303,-0.2437490801021472,0.7507079468541261,-0.4027444447148827,"(131, 18, 42, 109)","(0.8791946308724832, 0.2781456953642384)",1.7424983260227016,0.5290646065034118,-0.2913056508822641,0.3036241691611926,-1.2134337195192897,"(125, 14, 49, 112)","(0.8992805755395683, 0.30434782608695654)",1.7699489079148398,1.5260207021107044,-0.3827633734910083,0.8621834761933863,-0.2439282058041354,-0.2867385885339063,-1.191964628061428,-0.14828718155538514,0.9052260395275217,0.13845140697852118,1.0436774465060428
19,20,"(118, 24, 32, 126)","(0.8309859154929577, 0.20253164556962025)",1.7749261271582344,1.216966584482182,-0.0627280348023116,0.6856435126292384,-0.5579595426760524,"(124, 26, 36, 114)","(0.8266666666666667, 0.24)",1.633438767335075,1.0143602725289416,-0.1173859837564442,0.6209968153161024,-0.6190784948061334,"(143, 16, 49, 92)","(0.89937106918239, 0.3475177304964539)",1.6530701421858254,1.2135570678470855,-0.442972641397063,0.7341231547757682,-0.4395130743387396,-0.3773974472170913,-0.47642932537726324,-0.30907847864403487,0.09903187816017195,0.06831896857305642,0.16735084673322836
