,Subject,FM_scores,FM_rates,FM_dprime,FM_metad,FM_criterion,FM_mratio,FM_mdiff,IM_scores,IM_rates,IM_dprime,IM_metad,IM_criterion,IM_mratio,IM_mdiff,WM_scores,WM_rates,WM_dprime,WM_metad,WM_criterion,WM_mratio,WM_mdiff,FM_mratio_log,IM_mratio_log,WM_mratio_log,DGI_FM_IM,DGI_FM_WM,DGI_IM_WM
0,1,"(46, 14, 12, 48)","(0.7666666666666667, 0.2)",1.5378867949066373,1.9934272495763865,0.0568539713456349,1.296211955378292,0.4555404546697492,"(55, 5, 4, 56)","(0.9166666666666666, 0.06666666666666667)",2.7880182508988502,2.979466242180854,0.0590459094716934,1.0686681269824116,0.1914479912820037,"(32, 28, 11, 49)","(0.5333333333333333, 0.18333333333333332)",0.9656235969184662,0.400983423974547,0.4095415288683678,0.4152585181784913,-0.5646401729439192,0.2594461303745072,0.06641313200217157,-0.878854017325279,0.19303299837233562,1.1383001476997863,0.9452671493274506
1,3,"(46, 14, 24, 36)","(0.7666666666666667, 0.4)",0.9886823898792656,1.8849448034655172,-0.2372830938729223,1.9065220770198,0.8962624135862517,"(46, 14, 6, 54)","(0.7666666666666667, 0.1)",2.118493418854248,1.3285463840265626,0.276819137331478,0.6271184853361899,-0.7899470348276856,"(32, 28, 13, 47)","(0.5333333333333333, 0.21666666666666667)",0.9024227928801716,0.2141213101493529,0.3499243207413225,0.2372738275658614,-0.6883014827308186,0.6452806801172,-0.4666197843740892,-1.4385404142237637,1.111900464491289,2.083821094340964,0.9719206298496745
2,4,"(49, 11, 13, 47)","(0.8166666666666667, 0.21666666666666667)",1.7592255470530145,1.8372518791845915,-0.0596172081270453,1.0443526597611568,0.078026332131577,"(49, 11, 11, 49)","(0.8166666666666667, 0.18333333333333332)",1.7945140699474824,1.2938541517819298,-0.0,0.7210052980079422,-0.5006599181655527,,,,,,,,0.043397229126073536,-0.3271087935855693,,0.37050602271164285,,
3,5,"(52, 8, 12, 48)","(0.8666666666666667, 0.2)",1.9550411356796296,2.373045697195195,-0.1345751915319356,1.2138085761403965,0.4180045615155654,"(56, 4, 2, 58)","(0.9333333333333333, 0.03333333333333333)",3.187656198427307,-0.4887563053247932,0.1664143448859448,-0.153327797886714,-3.676412503752101,"(48, 12, 8, 52)","(0.8, 0.13333333333333333)",1.907452317486048,0.9791052775626248,0.1345751915319355,0.513305244166234,-0.9283470399234232,0.19376299992472495,,-0.6668845928964066,,0.8606475928211315,
4,6,"(54, 6, 26, 34)","(0.9, 0.43333333333333335)",1.4754215459932003,1.4078964586751423,-0.5568287803782475,0.9542333596107256,-0.0675250873180581,"(58, 2, 17, 43)","(0.9666666666666667, 0.2833333333333333)",2.3743913421304867,1.81350045288516,-0.6304735436602256,0.7637748759890387,-0.560890889245327,"(36, 24, 14, 46)","(0.6, 0.23333333333333334)",0.9628107700307396,1.4040793362417696,0.2372830938729222,1.4583128688900535,0.44126856621103,-0.04684702569514234,-0.2694821981736722,0.3772801982819018,0.22263517247852985,0.4241272239770441,0.646762396455574
5,7,"(51, 9, 13, 47)","(0.85, 0.21666666666666667)",1.8135490990256056,1.9842124095136968,-0.1264665070520078,1.0941045988662703,0.1706633104880908,"(54, 6, 3, 57)","(0.9, 0.05)",2.822226304841929,2.717963167287889,0.1816510307034362,0.9630564220257032,-0.1042631375540397,"(26, 34, 6, 54)","(0.43333333333333335, 0.1)",1.0799299584120472,1.2464962591184297,0.7247227851663529,1.1542380590601498,0.1665663007063824,0.08993631082443962,-0.037643279050170654,0.14344043715773028,0.12757958987461027,0.05350412633329066,0.18108371620790092
6,8,"(4, 56, 59, 1)","(0.06666666666666667, 0.9833333333333333)",-3.535944639600852,-4.388311419710613,-0.3134796440704791,1.2410577277041244,-0.8523667801097607,"(3, 57, 60, 0)","(0.05, 0.9916666666666667)",-3.977216443195256,-3.3604232810731225,-0.3745630864335187,0.8449183817548014,0.6167931621221334,"(5, 55, 55, 5)","(0.08333333333333333, 0.9166666666666666)",-2.7700929841173534,-2.567026936593791,-0.0,0.926693418348097,0.2030660475235621,0.21596402222690506,-0.16851524592933112,-0.07613249266128946,0.3844792681562362,0.29209651488819455,0.09238275326804166
7,9,"(48, 12, 12, 48)","(0.8, 0.2)",1.6241510585635448,0.3512504994599048,-5.551115123125783e-17,0.2162671369808192,-1.27290055910364,"(53, 7, 23, 37)","(0.8833333333333333, 0.38333333333333336)",1.484038186022438,1.798341354854856,-0.447539166710748,1.2117891384417965,0.3143031688324182,"(40, 20, 16, 44)","(0.6666666666666666, 0.26666666666666666)",0.9873536300696316,1.262959918798406,0.0960992119573151,1.2791363502753696,0.2756062887287744,-1.5312408901558816,0.19209789432782676,0.24618512385389357,1.7233387844837083,1.7774260140097753,0.054087229526066816
8,10,"(51, 9, 23, 37)","(0.85, 0.38333333333333336)",1.3588352190572612,1.8405003995858724,-0.3698477756169459,1.3544691613621724,0.4816651805286112,"(40, 20, 9, 51)","(0.6666666666666666, 0.15)",1.4353559716946442,1.8056281903498328,0.3028530450991662,1.257965428755648,0.3702722186551885,"(42, 18, 11, 49)","(0.7, 0.18333333333333332)",1.398340092398204,1.2126148686105698,0.189167139467912,0.8671816500168363,-0.1857252237876341,0.30340961474021255,0.22949567678429902,-0.14250680855656797,0.07391393795591353,0.4459164232967805,0.372002485340867
9,11,"(39, 21, 8, 52)","(0.65, 0.13333333333333333)",1.5030349486296843,1.2189426462462247,0.3627255751146088,0.8109875604406496,-0.2840923023834596,"(46, 14, 7, 53)","(0.7666666666666667, 0.11666666666666667)",1.8740661790044144,2.767009191051892,0.2319514403998751,1.476473574973669,0.8929430120474775,"(29, 31, 7, 53)","(0.48333333333333334, 0.11666666666666667)",1.0976547601509397,0.6301004059132892,0.6168027347489242,0.5740424300867091,-0.4675543542376504,-0.20950256352856603,0.3896565249700089,-0.5550519653828317,0.5991590884985749,0.34554940185426575,0.9447084903528407
10,12,"(49, 11, 28, 32)","(0.8166666666666667, 0.4666666666666667)",0.965623596918466,1.086292462801009,-0.4095415288683678,1.1249647028797,0.1206688658825432,"(51, 9, 7, 53)","(0.85, 0.11666666666666667)",2.17249256346711,2.7076407102525684,0.0776913910938024,1.2463291040828277,0.5351481467854584,"(31, 29, 15, 45)","(0.5166666666666667, 0.25)",0.7434494335903812,0.9528929518576632,0.3163502261898139,1.281718579373724,0.209443518267282,0.11775165994612662,0.22020251396686594,0.24820181753195378,0.10245085402073932,0.13045015758582718,0.02799930356508784
11,13,"(45, 15, 29, 31)","(0.75, 0.48333333333333334)",0.7243549594499654,0.2847438602632219,-0.3163502261898139,0.3930998974307298,-0.4396110991867435,"(45, 15, 23, 37)","(0.75, 0.38333333333333336)",0.9533798378506296,0.8838655177533956,-0.1888759559680918,0.9270864378106084,-0.0695143200972339,"(36, 24, 19, 41)","(0.6, 0.31666666666666665)",0.7496862345872183,0.1005033809865112,0.1118466626768219,0.1340605927516449,-0.649182853600707,-0.933691507478473,-0.0757084730916581,-2.0094633965221567,0.8579830343868149,1.0757718890436836,1.9337549234304985
12,14,"(30, 30, 6, 54)","(0.5, 0.1)",1.2450462387740626,1.5111740210122826,0.6407757827723002,1.213749316250506,0.26612778223822,"(52, 8, 4, 56)","(0.8666666666666667, 0.06666666666666667)",2.531542204997422,4.121807048168759,0.1951571647036197,1.6281802610409004,1.590264843171337,"(16, 44, 3, 57)","(0.26666666666666666, 0.05)",0.9286878854750096,0.1528998126030963,1.1338896750807803,0.1646406882166772,-0.7757880728719133,0.19371417728688958,0.4874629869058364,-1.8039898267746848,0.2937488096189468,1.9977040040615743,2.2914528136805212
13,15,"(53, 7, 11, 49)","(0.8833333333333333, 0.18333333333333332)",2.043707865602846,2.6496761236847863,-0.1445406900187645,1.2965043430525691,0.6059682580819405,"(56, 4, 9, 51)","(0.9333333333333333, 0.15)",2.4604030668807075,3.354138083394111,-0.2323262782751175,1.3632473998036745,0.8937350165134035,"(46, 14, 23, 37)","(0.7666666666666667, 0.38333333333333336)",1.0054362972541389,1.1130436032284463,-0.2155877263108732,1.1070254836315183,0.1076073059743074,0.2596716758194088,0.3098696474711601,0.1016766739055428,0.05019797165175127,0.157995001913866,0.20819297356561728
14,16,"(50, 10, 12, 48)","(0.8333333333333334, 0.2)",1.7699592401856965,2.1892714161805387,-0.0629001662643934,1.2369049899425084,0.4193121759948424,"(42, 18, 10, 50)","(0.7, 0.16666666666666666)",1.460770851078831,1.6188371775112578,0.2215105266968302,1.10820747574179,0.1580663264324266,"(24, 36, 8, 52)","(0.4, 0.13333333333333333)",0.8341640343691933,0.4000400944244399,0.6820593598862925,0.4795700580964941,-0.4341239399447533,0.2126122836234556,0.10274382327007535,-0.7348652887691368,0.10986846035338026,0.9474775723925924,0.8376091120392122
15,17,"(35, 25, 17, 43)","(0.5833333333333334, 0.2833333333333333)",0.8046887856445843,0.7846043845278918,0.1812695771237693,0.9750407841205292,-0.0200844011166925,"(46, 14, 2, 58)","(0.7666666666666667, 0.03333333333333333)",2.4403355765037684,2.915603738049486,0.5530006724671351,1.194755248467355,0.4752681615457175,"(37, 23, 16, 44)","(0.6166666666666667, 0.26666666666666666)",0.903057920860928,1.285426598956198,0.1630939424750948,1.4234154523895208,0.38236867809527,-0.025275978991924946,0.17794135140839826,0.3530592317953887,0.2032173304003232,0.37833521078731364,0.17511788038699042
16,18,"(39, 21, 16, 44)","(0.65, 0.26666666666666666)",1.0114094757322134,0.6213879022216798,0.11880262840126,0.6143781694074242,-0.3900215735105335,"(51, 9, 10, 50)","(0.85, 0.16666666666666666)",1.9360640055250888,0.7965432731730965,-0.0345059116960443,0.411424039132974,-1.1395207323519925,,,,,,,,-0.48714462934337277,-0.888130870964379,,0.40098624162100627,,
17,19,"(49, 11, 12, 48)","(0.8166666666666667, 0.2)",1.7075284815050689,2.4773512101662463,-0.0305567790354753,1.450840344392166,0.7698227286611774,"(57, 3, 3, 57)","(0.95, 0.05)",3.154360132135734,4.001505470558001,3.3306690738754696e-16,1.268563291106741,0.8471453384222674,"(38, 22, 16, 44)","(0.6333333333333333, 0.26666666666666666)",0.9369287391302634,0.9573971975625384,0.1411154480611461,1.0218463342807431,0.0204684584322748,0.3721429364161474,0.23788499326008178,0.02161112263000747,0.1342579431560656,0.3505318137861399,0.2162738706300743
18,2,,,,,,,,"(56, 4, 6, 54)","(0.9333333333333333, 0.1)",2.6933182802818134,3.6786240875748986,-0.1097671902497122,1.3658334087384534,0.9853058072930851,"(48, 12, 14, 46)","(0.8, 0.23333333333333334)",1.5378867949066373,1.0422848825430526,-0.056853971345635,0.6777383653953074,-0.4956019123635846,,0.3117647981758781,-0.3889939572644563,,,0.7007587554403344
